"TempC","TimeH","Response"
100,0,28.74
100,0,25.59
100,0,22.72
100,0,22.44
100,0,29.48
100,0,23.85
100,0,20.24
100,0,22.33
100,0,21.7
100,0,27.97
200,840,52.52
200,840,30.23
200,840,31.9
200,840,33.15
200,840,34.26
200,840,31.82
200,840,27.1
200,840,30
200,840,26.96
200,840,42.73
250,840,28.97
250,840,35.01
250,840,27.39
250,840,36.66
250,840,27.91
250,840,31.03
250,840,32.65
250,840,35.08
250,840,28.05
250,840,33.54
300,840,10.63
300,840,8.28
300,840,13.46
300,840,13.47
300,840,9.44
300,840,7.66
300,840,11.16
300,840,8.7
300,840,9.44
300,840,12.23
350,840,13.79
350,840,15.1
350,840,20.58
350,840,18.2
350,840,16.64
350,840,10.93
350,840,12.28
350,840,18.65
350,840,20.8
350,840,15.04
200,1680,31.37
200,1680,37.91
200,1680,38.03
200,1680,42.21
200,1680,32.64
200,1680,32.1
200,1680,32.37
200,1680,33.59
200,1680,26.46
200,1680,33.69
250,1680,14.29
250,1680,20.16
250,1680,22.35
250,1680,21.96
250,1680,13.67
250,1680,14.4
250,1680,22.37
250,1680,13.08
250,1680,17.81
250,1680,17.82
300,1680,10.34
300,1680,13.24
300,1680,8.57
300,1680,11.93
300,1680,13.76
300,1680,16.44
300,1680,14.81
300,1680,11.5
300,1680,11.92
300,1680,10.3
350,1680,5.78
350,1680,5.9
350,1680,6.99
350,1680,7.94
350,1680,7.06
350,1680,5.13
350,1680,5.8
350,1680,6.2
350,1680,5.3
350,1680,6.34
200,2520,9.47
200,2520,13.61
200,2520,8.95
200,2520,8.61
200,2520,10.16
200,2520,8.82
200,2520,8.84
200,2520,10.73
200,2520,10.63
200,2520,7.7
250,2520,9.59
250,2520,14.37
250,2520,12.08
250,2520,11.79
250,2520,17.69
250,2520,14.05
250,2520,17.08
250,2520,11.52
250,2520,13.03
250,2520,18.37
300,2520,3.86
300,2520,4.76
300,2520,5.32
300,2520,3.74
300,2520,4.58
300,2520,3.62
300,2520,3.58
300,2520,3.47
300,2520,3.29
300,2520,3.63
350,2520,1.34
350,2520,0.92
350,2520,1.31
350,2520,1.76
350,2520,1.3
350,2520,1.47
350,2520,1.11
350,2520,1.25
350,2520,1.02
350,2520,1.3
200,3360,26.72
200,3360,21.24
200,3360,22.76
200,3360,24.39
200,3360,15.93
200,3360,23.9
200,3360,22.09
200,3360,23.69
200,3360,23.67
200,3360,20.94
250,3360,14.23
250,3360,12.83
250,3360,13.02
250,3360,16.74
250,3360,12.11
250,3360,12.24
250,3360,18.97
250,3360,15.29
250,3360,14.38
250,3360,14.8
300,3360,2.89
300,3360,3.31
300,3360,1.81
300,3360,1.61
300,3360,2.65
300,3360,2.83
300,3360,2.7
300,3360,2.79
300,3360,1.83
300,3360,3.08
350,3360,1.24
350,3360,1.57
350,3360,2.06
350,3360,1.56
350,3360,1.94
350,3360,1.39
350,3360,1.91
350,3360,1.44
350,3360,1.61
350,3360,1.5
200,4200,14.53
200,4200,17.95
200,4200,11.9
200,4200,17
200,4200,15.56
200,4200,18.07
200,4200,13.96
200,4200,13.57
200,4200,16.35
200,4200,18.76
250,4200,14.75
250,4200,11.54
250,4200,11.57
250,4200,10.83
250,4200,12.78
250,4200,10.14
250,4200,11.45
250,4200,12.91
250,4200,13.06
250,4200,6.76
300,4200,1.95
300,4200,1.55
300,4200,2.19
300,4200,2
300,4200,2
300,4200,2.33
300,4200,1.8
300,4200,2.34
300,4200,1.88
300,4200,2.66
350,4200,0.27
350,4200,0.2
350,4200,0.26
350,4200,0.26
350,4200,0.27
350,4200,0.18
350,4200,0.13
350,4200,0.2
350,4200,0.13
350,4200,0.21
